Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
60.29495192,-9.774972839,-0.029488678,0.974174194
60.31496092,-9.801617432,-0.028141479,0.978066101
60.33496992,-9.781559143,-0.02694397,0.970282288
60.35497992,-9.801018677,-0.024399261,0.967587891
60.37498892,-9.780810699,-0.020956421,0.975371704
60.39499792,-9.79712677,-0.029937744,0.973425751
60.41500692,-9.779313812,-0.023800507,0.975671082
60.43501592,-9.782457275,-0.026345215,0.986448669
60.45502592,-9.784702606,-0.026345215,0.964594116
60.47503492,-9.782008209,-0.030835876,0.981808319
60.49504392,-9.770631866,-0.028141479,0.975371704
60.51505292,-9.780960388,-0.023052063,0.973575439
60.53506192,-9.794582062,-0.029788055,0.976718903
60.55507092,-9.776769104,-0.023052063,0.977167969
60.57508092,-9.795629883,-0.032033386,0.979263611
60.59508992,-9.781708832,-0.019309845,0.969234467
60.61509892,-9.813592529,-0.042511597,0.98525116
60.63510792,-9.788744202,-0.022303619,0.973725128
60.65511692,-9.794582062,-0.032482452,0.978066101
60.67512692,-9.779164124,-0.011226654,0.97237793
60.69513537,-9.792336731,-0.035775604,0.973575439
60.71514437,-9.764794006,-0.027991791,0.977766724
60.73515337,-9.782756653,-0.029488678,0.968635712
60.75516237,-9.780960388,-0.024399261,0.978365479
60.77517237,-9.777667236,-0.023052063,0.969384155
60.79518137,-9.773925018,-0.018860779,0.972826996
60.81519037,-9.779164124,-0.030536499,0.976569214
60.83519937,-9.801916809,-0.019459534,0.978814545
60.85520837,-9.782307587,-0.029039612,0.9794133
60.87521837,-9.802814941,-0.033380585,0.976718903
60.89522737,-9.778116302,-0.027991791,0.973276062
60.91523637,-9.811047821,-0.022602997,0.974024506
60.93524537,-9.782756653,-0.034278717,0.972078552
60.95525437,-9.798773346,-0.026644592,0.968336334
60.97526437,-9.780062256,-0.015567627,0.970581665
60.99527337,-9.797426147,-0.037721558,0.97118042
61.01528237,-9.769284668,-0.02335144,0.974922638
61.03529137,-9.792187042,-0.019010468,0.969234467
61.05530137,-9.780062256,-0.019459534,0.974922638
61.07531037,-9.778715057,-0.017962646,0.972228241
61.09531937,-9.770482178,-0.028590546,0.977467346
61.11532837,-9.781708832,-0.022752686,0.983604584
61.13533737,-9.79592926,-0.025896149,0.969533844
61.15534737,-9.789342957,-0.017663269,0.977467346
61.17535637,-9.79473175,-0.025147705,0.979263611
61.19536537,-9.782157898,-0.023501129,0.977916412
61.21537437,-9.783505096,-0.035027161,0.969833221
61.23538337,-9.775122528,-0.021854553,0.985700226
61.25539337,-9.792187042,-0.030835876,0.978814545
61.27540237,-9.783355408,-0.030835876,0.967288513
